Load,Deformation Elongation,Deformation Striction,CrossHead,Testing Time,Phase,Unitary Deformation,Deformation Percent,Stress,Elongation Percent
N,mm,mm,mm,s,,mm/mm,%,MPa,%
526.71625,0,0,0,0,1,0,0,6.801243735,0
589.905,-0.0002,0,0.001684,0.1,1,-4.00E-06,-0.0004,7.617170887,-0.0004
673.20375,0,0,0.002958,0.2,1,0,0,8.692769185,0
749.72625,0.0002,-0.001,0.004149,0.3,1,4.00E-06,0.0004,9.680868894,0.0004
835.26,0.0004,-0.001,0.005381,0.4,1,8.00E-06,0.0008,10.78532671,0.0008
918.0625,0.0005,-0.001,0.006614,0.5,1,1.00E-05,0.001,11.85451716,0.001
1002.02875,0.0008,-0.001,0.007805,0.6,1,1.60E-05,0.0016,12.93873458,0.0016
1083.65625,0.0012,-0.001,0.009038,0.7,1,2.40E-05,0.0024,13.9927528,0.0024
1168.0775,0.0014,-0.001,0.01027,0.8,1,2.80E-05,0.0028,15.08284542,0.0028
1254.3025,0.0018,0,0.011462,0.9,1,3.60E-05,0.0036,16.19622903,0.0036
1341.64,0.0022,0,0.012735,1,1,4.40E-05,0.0044,17.32397784,0.0044
1430.785,0.0024,0,0.013926,1.1,1,4.80E-05,0.0048,18.47506607,0.0048
1518.1875,0.0026,0,0.0152,1.2,1,5.20E-05,0.0052,19.60365419,0.0052
1603.315,0.003,0,0.016432,1.3,1,6.00E-05,0.006,20.70286629,0.006
1694.565,0.0035,0,0.017665,1.4,1,7.00E-05,0.007,21.88113541,0.007
1781.29625,0.0039,0,0.018897,1.5,1,7.80E-05,0.0078,23.001056,0.0078
1869.65875,0.0041,-0.001,0.020171,1.6,1,8.20E-05,0.0082,24.14204016,0.0082
1954.1575,0.0046,-0.001,0.021362,1.7,1,9.20E-05,0.0092,25.2331335,0.0092
2037.845,0.0049,-0.001,0.022595,1.8,1,9.80E-05,0.0098,26.31375155,0.0098
2125.48625,0.0051,-0.001,0.023827,1.9,1,0.000102,0.0102,27.44542254,0.0102
2213.69875,0.0055,0,0.025059,2,1,0.00011,0.011,28.58446982,0.011
2301.63375,0.0058,0,0.026333,2.1,1,0.000116,0.0116,29.71993388,0.0116
2384.105,0.0061,0,0.027565,2.2,1,0.000122,0.0122,30.78484705,0.0122
2477.79625,0.0064,0,0.028798,2.3,1,0.000128,0.0128,31.9946389,0.0128
2568.05,0.0069,-0.001,0.030071,2.4,1,0.000138,0.0138,33.1600439,0.0138
2652.4625,0.0072,-0.001,0.031304,2.5,1,0.000144,0.0144,34.25002354,0.0144
2740.66375,0.0075,0,0.032577,2.6,1,0.00015,0.015,35.38892555,0.015
2822.275,0.0077,0,0.03381,2.7,1,0.000154,0.0154,36.44273394,0.0154
2909.3025,0.0083,0,0.035083,2.8,1,0.000166,0.0166,37.56647987,0.0166
2997.02625,0.0087,0,0.036316,2.9,1,0.000174,0.0174,38.69921615,0.0174
3086.13,0.009,0,0.037548,3,1,0.00018,0.018,39.84977173,0.018
3170.695,0.0094,0,0.038822,3.1,1,0.000188,0.0188,40.94172053,0.0188
3260.91,0.0096,0,0.040095,3.2,1,0.000192,0.0192,42.10662517,0.0192
3345.6325,0.01,0,0.041328,3.3,1,0.0002,0.02,43.20060769,0.02
3432.96375,0.0104,0,0.04256,3.4,1,0.000208,0.0208,44.3282758,0.0208
3518.60625,0.0106,0,0.043834,3.5,1,0.000212,0.0212,45.43413786,0.0212
3607.0375,0.011,-0.001,0.045066,3.6,1,0.00022,0.022,46.57600976,0.022
3691.81375,0.0114,-0.001,0.046299,3.7,1,0.000228,0.0228,47.67068633,0.0228
