 lambda          omega           period          frequency
 +1.071396e+004  +1.035083e+002  +6.070225e-002  +1.647385e+001
 +1.079487e+004  +1.038984e+002  +6.047433e-002  +1.653594e+001
 +4.205580e+005  +6.485044e+002  +9.688731e-003  +1.032127e+002
 +4.237329e+005  +6.509477e+002  +9.652366e-003  +1.036015e+002
 +6.441423e+005  +8.025847e+002  +7.828688e-003  +1.277353e+002
 +3.295758e+006  +1.815422e+003  +3.461005e-003  +2.889334e+002
 +3.320629e+006  +1.822259e+003  +3.448019e-003  +2.900216e+002
 +5.795164e+006  +2.407315e+003  +2.610039e-003  +3.831360e+002
 +1.265016e+007  +3.556706e+003  +1.766574e-003  +5.660674e+002
 +1.274548e+007  +3.570081e+003  +1.759956e-003  +5.681961e+002
 +1.608602e+007  +4.010738e+003  +1.566591e-003  +6.383288e+002
 +3.149281e+007  +5.611845e+003  +1.119629e-003  +8.931529e+002
