 lambda          omega           period          frequency
 +6.919278e+003  +8.318220e+001  +7.553522e-002  +1.323886e+001
 +7.000061e+003  +8.366637e+001  +7.509810e-002  +1.331592e+001
 +2.716043e+005  +5.211567e+002  +1.205623e-002  +8.294466e+001
 +2.747729e+005  +5.241879e+002  +1.198651e-002  +8.342709e+001
 +4.046872e+005  +6.361503e+002  +9.876888e-003  +1.012465e+002
 +2.128462e+006  +1.458925e+003  +4.306723e-003  +2.321951e+002
 +2.153277e+006  +1.467405e+003  +4.281835e-003  +2.335447e+002
 +3.640865e+006  +1.908105e+003  +3.292893e-003  +3.036844e+002
 +8.169710e+006  +2.858271e+003  +2.198247e-003  +4.549079e+002
 +8.264663e+006  +2.874833e+003  +2.185583e-003  +4.575438e+002
 +1.010639e+007  +3.179054e+003  +1.976432e-003  +5.059622e+002
 +1.978507e+007  +4.448041e+003  +1.412574e-003  +7.079278e+002
